sensor,a,b,c,K,g,S,name,sensor_desc,...10
3.4,9.28114705,-2.181977541,0.003023663,-7.094567409,6.363981378,221.0820365,NA,NA,NA
3.5,7.940831299,-2.232394909,0.004281894,-5.831371009,6.200986035,197.7397372,NA,NA,NA
P12,2.603283776,-2.152965162,0.133787436,-6.585402241,8.109658,185.5103823,NA,NA,NA
P15,10.26971058,-1.934717755,0.019779009,-11.40750424,8.366559134,189.7488781,NA,NA,NA
P16,9.674533222,-1.992758777,0.027158931,-12.02332966,9.906330192,197.5234433,NA,NA,NA
P17,6.902330489,-2.130950708,0.022772716,-7.97616805,8.502934687,205.0043068,NA,NA,NA
P4,14.62160928,-1.856320426,0.00510084,-13.92769023,6.740099067,196.1687217,NA,NA,NA
P5,12.32725993,-1.997246916,8.33e-6,-10.75933934,5.931218561,202.5232708,NA,NA,NA
P9,5.110614688,-2.178581444,0.035776231,-6.485426134,7.899905925,149.8117432,NA,NA,NA
P11,7.209711826,-2.225048551,0.019429075,-7.501895134,7.492423557,182.7455571,NA,NA,NA
P13,3.534543016,-2.329183592,0.072149292,-5.44550802,4.559025609,280.2141308,NA,NA,NA
13gul,15.14703344,-2.12115795,0.005453386,-14.35527201,8.662558372,287.5291207,NA,sensor13gul,NA
21,5.691253243,-2.047962274,0.096805265,-12.42245802,10.52122781,137.1975037,NA,sensor21,NA
4grĂ¸n,-12.02578492,-3.507182554,-0.118138443,-4.034129037,29.56253082,-146.5279102,NA,sensor4_grĂ¸n,NA
P1,12.94512079,-2.173047743,0.001217232,-10.71694928,8.790964874,267.6222777,NA,NA,NA
P2,15.14981248,-2.125287324,-4.84E-04,-12.29968086,8.392450737,265.9140982,NA,NA,NA
P3,15.53275651,-2.101012709,-0.005007858,-11.49655401,8.146970798,287.2895424,NA,NA,NA
P6,15.14816902,-2.128612903,-0.013080895,-9.073408221,4.523833699,278.6400797,NA,NA,NA
P8,23.13640901,-1.751155911,-0.361350916,-18.90435973,862.4583379,315.4504651,NA,NA,NA
worm1,18.79762421,-2.831422925,-0.020784869,-12.18630906,6.324705601,421.0842058,NA,worm1,NA
2,31.06500505,-2.428519526,-0.025507595,-20.2572072,8.829561301,411.5122674,NA,sensor2,NA
7,18.66948026,-2.044298161,-0.006132422,-14.92706589,11.99916371,263.0669003,NA,sensor7,NA
3,17.75940864,-1.380228515,0.059452101,-31.25532877,14.94651742,187.907341,NA,sensor3,NA
5,18.34787501,-1.968642432,-0.013411124,-11.60829672,8.593888502,301.7633363,NA,sensor_5,NA
6,10.07833894,-1.407330547,0.300005009,-30.03768755,27.91272046,145.4946915,NA,sensor6,NA
8,39.37119313,-1.775137965,0.008758062,-16.4308718,14.21844318,332.4115905,NA,sensor_8,NA
8_2,24.41162162,-1.770788799,-0.012072674,-16.55683982,6.269331934,266.3416262,NA,sensor8_2,NA
9,10.02330531,-1.766558639,0.066904148,-13.98449497,17.19200838,186.4848155,NA,sensor9,NA
10,4.031117445,-1.870427743,0.210963341,-10.80222597,19.42838687,208.8061282,NA,sensor10,NA
11,2.732896482,-2.318360233,0.200129419,-6.032286911,15.37581093,249.7253245,NA,sensor11,NA
12,25.43553238,-1.906659388,-0.023680216,-13.88327048,4.423300379,353.7557962,NA,sensor_12,NA
22,14.50029036,-1.891180245,-0.007032263,-10.01285507,4.562268261,269.1645724,NA,sensor_22,NA
23,16.95150838,-2.049200476,0.001178224,-13.80761184,12.94108598,289.9886269,NA,sensor_23,NA
24,16.59548027,-1.923690296,2.23e-4,-12.92038388,11.14087138,331.0179768,NA,sensor_24,NA
13,6.715634457,-1.762147934,0.101521462,-11.90611565,13.70793848,164.0358693,NA,sensor13_grĂ¸n,Tidliger 13grżn
1grżn,8.594997055,-1.677221763,0.086763298,-14.40159962,14.37832121,183.5867089,NA,sensor1_grĂ¸n,NA
1gul,8.797779379,-1.699099501,0.10009666,-16.48333457,17.11120152,175.7674775,NA,sensor1_gul,NA
4gul,21.98191365,-1.946710567,-0.018709663,-12.72329117,7.07513493,321.1208745,NA,sensor_gul_4,NA
5gul,19.80591634,-1.935383505,-0.012842108,-12.65875684,8.505340401,295.6104815,NA,sensor_gul_5,NA
B,19.78950805,-1.652302612,-0.008013083,-15.2397971,5.408437121,288.2957508,NA,sensor_B,NA
D,18.23970878,-1.60685879,-0.008162218,-13.68104886,4.630542424,234.0332606,NA,sensor_D,NA
E,19.61123531,-1.603445975,-0.009943097,-14.74838982,5.0644739,256.4587212,NA,sensor_E,NA
F,19.09103342,-1.721702746,-0.007570429,-14.59487598,4.940918367,255.8756102,NA,sensor_F,NA
G,16.40701209,-1.728721736,-0.007552508,-12.16282792,4.276470612,245.2063957,NA,sensor_G,NA
Q,15.37278803,-1.685195264,-0.00454806,-11.74083797,5.579556445,214.7453325,NA,sensor_Q,NA
R,19.96987909,-1.562693862,-0.009322382,-15.36613855,5.16044155,268.3973904,NA,sensor_R,NA
